year,payments_to_producers_eur,income_from_eeg_levy_eur,federal_budget_transfers_eur
2010,12157353577.53,7510965255.43,0.0
2011,15787887588.05,12902871016.31,0.0
2012,19543863288.42,13933715940.74,0.0
2013,18866495954.3,19326305493.02,0.0
2014,20895271692.12,22392421389.12,0.0
2015,23504399424.06,22034502027.86,0.0
2016,24899145490.82,22819839808.64,0.0
2017,25696137859.36,24515910835.7,0.0
2018,26060083536.33,24577667368.37,0.0
2019,26970979480.65,22853502817.7,0.0
2020,30165116521.84,23218079225.5,0.0
2021,21063831276.52,22631309120.24,10799830519.43
2022,12608234102.21,8902744275.35,166772.37
2023,17602817595.12,0.0,0.0
2024,20941760479.84,0.0,18488946146.73
