year,payments_to_producers_eur,income_from_eeg_levy_eur,federal_budget_transfers_eur,source_pdf,notes
2010,12157353577.53,7510965255.43,0.0,EEAV Dec 2010,Vergütungszahlungen total
2011,15787887588.05,12902871016.31,0.0,EEAV Dec 2011,Vergütungszahlungen total
2012,19543863288.42,13933715940.74,0.0,EEAV Dec 2012,Vergütungs+Prämienzahlungen
2013,18866495954.3,19326305493.02,0.0,EEAV Dec 2013,Vergütungs+Prämien+§35(1b) Zahlungen
2014,20895271692.12,22392421389.12,0.0,EEAV Dec 2014,"Förderungen (§§19,52,57(1),100-102)+Prämien (bis 1.8.)+§57(2)"
2015,23504399424.06,22034502027.86,0.0,AusglMechV Dec 2015,"Finanzielle Förderungen (§§19,52,100-102)"
2016,24899145490.82,22819839808.64,0.0,AusglMechV Dec 2016,"Finanzielle Förderungen (§§19,50,100-101)"
2017,25696137859.36,24515910835.7,0.0,EEAV Dec 2017,"Zahlungen nach §§19,50,100-101"
2018,26060083536.33,24577667368.37,0.0,EEAV Dec 2018,"Zahlungen nach §§19,50,100-101"
2019,26970979480.65,22853502817.7,0.0,EEAV Dec 2019,"Zahlungen nach §§19,50,100-101"
2020,30165116521.84,23218079225.5,0.0,EEAV Dec 2020,"Zahlungen nach §§19,50,100-101"
2021,21063831276.52,22631309120.24,10799830519.43,EEAV Dec 2021,"Zahlungen nach §§19,50,100-101; Bundeszahlungen §3(3)3a EEV"
2022,12608234102.21,8902744275.35,166772.37,EEAV Dec 2022,"Zahlungen nach §§19,50,100-101; Bundeszahlungen §3(3)3b EEV (gering)"
2023,17602817595.12,0.0,0.0,pv-magazine.de,EnFG-Format; EEG-Umlage abgeschafft; Bundeszahlungen decken Nettokosten
2024,20941760479.84,0.0,18488946146.73,EnFG Dec 2024,EnFG-Format; EEG-Umlage abgeschafft; Bundeszahlungen (EnFG §6/7)
